countryname,iso3c,wbregion,incgroup,lendingcat,census_round,date,year,planned,notes
American Samoa,ASM,East Asia & Pacific,Upper middle income,,round2000, 1 April 2000,2000,0,
American Samoa,ASM,East Asia & Pacific,Upper middle income,,round2010, 1 April 2010,2010,0,
American Samoa,ASM,East Asia & Pacific,Upper middle income,,round2020, (April 2020),2020,1,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,IBRD,round1990, (P) 28 May 1991,1991,0,Population census only.
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,IBRD,round2000, 28 May 2001,2001,0,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,IBRD,round2010, 27 May 2011,2011,0,
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,IBRD,round2020, (May 2021),2021,1,
Australia,AUS,East Asia & Pacific,High income,,round1990, 30 June 1986,1986,0,
Australia,AUS,East Asia & Pacific,High income,,round1990, 30 June 1991,1991,0,
Australia,AUS,East Asia & Pacific,High income,,round2000, 6 August 1996,1996,0,
Australia,AUS,East Asia & Pacific,High income,,round2000, 7 August 2001,2001,0,
Australia,AUS,East Asia & Pacific,High income,,round2010, 8 August 2006,2006,0,
Australia,AUS,East Asia & Pacific,High income,,round2010, 9 August 2011,2011,0,
Australia,AUS,East Asia & Pacific,High income,,round2020, 9 August 2016,2016,0,
Australia,AUS,East Asia & Pacific,High income,,round2020, (August 2021),2021,1,
Austria,AUT,Europe & Central Asia,High income,,round1990, 15 May 1991,1991,0,
Austria,AUT,Europe & Central Asia,High income,,round2000, (4) 15 May 2001,2001,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Austria,AUT,Europe & Central Asia,High income,,round2010, (3)31 October 2011,2011,0,Population figures compiled from administrative registers.
Austria,AUT,Europe & Central Asia,High income,,round2020, (3) (31 October 2021),2021,1,Population figures compiled from administrative registers.
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,IBRD,round1990, 12 January 1989,1989,0,
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,IBRD,round2000, 27 January 1999,1999,0,
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,IBRD,round2010, 13-22 April 2009,2009,0,
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,IBRD,round2020, 1-10 October 2019,2019,0,
Burundi,BDI,Sub-Saharan Africa,Low income,IDA,round1990, 16-30 August 1990,1990,0,
Burundi,BDI,Sub-Saharan Africa,Low income,IDA,round2010, 16-31 August 2008,2008,0,
Burundi,BDI,Sub-Saharan Africa,Low income,IDA,round2020, (15 August 2022),2022,1,
Burundi,BDI,Sub-Saharan Africa,Low income,IDA,round2000, -,,0,
Belgium ,BEL,Europe & Central Asia,High income,,round1990, 1 March 1991,1991,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Belgium ,BEL,Europe & Central Asia,High income,,round2000, 1 October 2001,2001,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Belgium ,BEL,Europe & Central Asia,High income,,round2010, 1 January 2011,2011,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Belgium ,BEL,Europe & Central Asia,High income,,round2020, (1 January 2021),2021,1,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Benin,BEN,Sub-Saharan Africa,Low income,IDA,round1990, 15 February 1992,1992,0,
Benin,BEN,Sub-Saharan Africa,Low income,IDA,round2000, 11 February 2002,2002,0,
Benin,BEN,Sub-Saharan Africa,Low income,IDA,round2010, 11-25 May 2013,2013,0,
Benin,BEN,Sub-Saharan Africa,Low income,IDA,round2020,+ (2023),2023,1,
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA,round1990, (P) 10-20 December 1985,1985,0,Population census only.
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA,round2000, 10 December 1996,1996,0,
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA,round2010, 9-23 December 2006,2006,0,
Burkina Faso,BFA,Sub-Saharan Africa,Low income,IDA,round2020, 6 Nov.-15 Dec. 2019,2019,0,
Bangladesh,BGD,South Asia,Lower middle income,IDA,round1990, 11 March 1991,1991,0,
Bangladesh,BGD,South Asia,Lower middle income,IDA,round2000, 22 January 2001,2001,0,
Bangladesh,BGD,South Asia,Lower middle income,IDA,round2010, 15 March 2011,2011,0,
Bangladesh,BGD,South Asia,Lower middle income,IDA,round2020,+ (2021),2021,1,
Bulgaria,BGR,Europe & Central Asia,Upper middle income,IBRD,round1990, 4 December 1985,1985,0,
Bulgaria,BGR,Europe & Central Asia,Upper middle income,IBRD,round1990, 4 December 1992,1992,0,
Bulgaria,BGR,Europe & Central Asia,Upper middle income,IBRD,round2000, 1 March 2001,2001,0,
Bulgaria,BGR,Europe & Central Asia,Upper middle income,IBRD,round2010, 1-28 February 2011,2011,0,
Bulgaria,BGR,Europe & Central Asia,Upper middle income,IBRD,round2020,+ (2021),2021,1,
Bahrain ,BHR,Middle East & North Africa,High income,,round1990, 16 November 1991,1991,0,Population figures compiled from administrative registers.
Bahrain ,BHR,Middle East & North Africa,High income,,round2000, 7 April 2001,2001,0,Population figures compiled from administrative registers.
Bahrain ,BHR,Middle East & North Africa,High income,,round2010, 27 April 2010,2010,0,Population figures compiled from administrative registers.
Bahrain ,BHR,Middle East & North Africa,High income,,round2020,+ (2020),2020,1,Population figures compiled from administrative registers.
Bahamas,BHS,Latin America & Caribbean,High income,,round1990, 1 May 1990,1990,0,
Bahamas,BHS,Latin America & Caribbean,High income,,round2000, 1 May 2000,2000,0,
Bahamas,BHS,Latin America & Caribbean,High income,,round2010, 4 May-30 Jun. 2010,2010,0,
Bahamas,BHS,Latin America & Caribbean,High income,,round2020,+ (2020),2020,1,
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,IBRD,round1990, 31 March 1991,1991,0,
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,IBRD,round2010, 1-15 October 2013,2013,0,
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,IBRD,round2020,+ (2023),2023,1,
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,IBRD,round2000, -,,0,
Saint-Barthélemy,BLM,,,,round2020, 1 January 2015,2015,0,
Belarus,BLR,Europe & Central Asia,Upper middle income,IBRD,round1990, 12 January 1989,1989,0,
Belarus,BLR,Europe & Central Asia,Upper middle income,IBRD,round2000, 16 February 1999,1999,0,
Belarus,BLR,Europe & Central Asia,Upper middle income,IBRD,round2010, 14-24 October 2009,2009,0,
Belarus,BLR,Europe & Central Asia,Upper middle income,IBRD,round2020, 4-30 October 2019,2019,0,
Belize,BLZ,Latin America & Caribbean,Upper middle income,IBRD,round1990, 12 May 1991,1991,0,
Belize,BLZ,Latin America & Caribbean,Upper middle income,IBRD,round2000, 12 May 2000,2000,0,
Belize,BLZ,Latin America & Caribbean,Upper middle income,IBRD,round2010, 12 May-21 Nov. 2010,2010,0,
Belize,BLZ,Latin America & Caribbean,Upper middle income,IBRD,round2020, (May 2020),2020,1,
Bermuda,BMU,North America,High income,,round1990, 20 May 1991,1991,0,
Bermuda,BMU,North America,High income,,round2000, 20 May 2000,2000,0,
Bermuda,BMU,North America,High income,,round2010, 20 May-31 Aug. 2010,2010,0,
Bermuda,BMU,North America,High income,,round2020,+ (2020),2020,1,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,IBRD,round1990, 3 June 1992,1992,0,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,IBRD,round2000, 5 September 2001,2001,0,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,IBRD,round2010, 21 November 2012,2012,0,
Bolivia,BOL,Latin America & Caribbean,Lower middle income,IBRD,round2020,+ (2022),2022,1,
Brazil,BRA,Latin America & Caribbean,Upper middle income,IBRD,round1990, 1 September 1991,1991,0,
Brazil,BRA,Latin America & Caribbean,Upper middle income,IBRD,round2000, 1 August 1996,1996,0,
Brazil,BRA,Latin America & Caribbean,Upper middle income,IBRD,round2000, 1 August 2000,2000,0,
Brazil,BRA,Latin America & Caribbean,Upper middle income,IBRD,round2010, 1 Aug.-31 Oct. 2010,2010,0,
Brazil,BRA,Latin America & Caribbean,Upper middle income,IBRD,round2020,+ (2020),2020,1,
Barbados,BRB,Latin America & Caribbean,High income,,round1990, 2 May 1990,1990,0,
Barbados,BRB,Latin America & Caribbean,High income,,round2000, 1 May 2000,2000,0,
Barbados,BRB,Latin America & Caribbean,High income,,round2010, 2-12 May 2010,2010,0,
Barbados,BRB,Latin America & Caribbean,High income,,round2020, (May 2020),2020,1,
Brunei Darussalam,BRN,East Asia & Pacific,High income,,round1990, 7 August 1991,1991,0,
Brunei Darussalam,BRN,East Asia & Pacific,High income,,round2000, 21 August 2001,2001,0,
Brunei Darussalam,BRN,East Asia & Pacific,High income,,round2010, 20 Jun.-3 Jul. 2011,2011,0,
Brunei Darussalam,BRN,East Asia & Pacific,High income,,round2020,+ (2021),2021,1,
Bhutan,BTN,South Asia,Lower middle income,IDA,round2010, 30-31 May 2005,2005,0,
Bhutan,BTN,South Asia,Lower middle income,IDA,round2020, 30 May-1 Jun. 2017,2017,0,
Bhutan,BTN,South Asia,Lower middle income,IDA,round1990, -,,0,
Bhutan,BTN,South Asia,Lower middle income,IDA,round2000, -,,0,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,IBRD,round1990, 21 August 1991,1991,0,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,IBRD,round2000, 17-26 August 2001,2001,0,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,IBRD,round2010, 9-18 August 2011,2011,0,
Botswana,BWA,Sub-Saharan Africa,Upper middle income,IBRD,round2020,+ (2021),2021,1,
Central African Republic,CAF,Sub-Saharan Africa,Low income,IDA,round1990, 8 December 1988,1988,0,
Central African Republic,CAF,Sub-Saharan Africa,Low income,IDA,round2000, 8 December 2003,2003,0,
Central African Republic,CAF,Sub-Saharan Africa,Low income,IDA,round2010, -,,0,
Canada,CAN,North America,High income,,round1990, 3 June 1986,1986,0,
Canada,CAN,North America,High income,,round1990, 4 June 1991,1991,0,
Canada,CAN,North America,High income,,round2000, 14 May 1996,1996,0,
Canada,CAN,North America,High income,,round2000, 15 May 2001,2001,0,
Canada,CAN,North America,High income,,round2010, 16 May 2006,2006,0,
Canada,CAN,North America,High income,,round2010, 2 May-31 Jul. 2011,2011,0,
Canada,CAN,North America,High income,,round2020, 10 May 2016,2016,0,
Canada,CAN,North America,High income,,round2020,+ (2021),2021,1,
Switzerland ,CHE,Europe & Central Asia,High income,,round1990, 4 December 1990,1990,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Switzerland ,CHE,Europe & Central Asia,High income,,round2000, 5 December 2000,2000,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Switzerland ,CHE,Europe & Central Asia,High income,,round2010, 31 December 2010,2010,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Switzerland ,CHE,Europe & Central Asia,High income,,round2020, (31 December 2020),2020,1,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Chile,CHL,Latin America & Caribbean,High income,IBRD,round1990, 22 April 1992,1992,0,
Chile,CHL,Latin America & Caribbean,High income,IBRD,round2000, 24 April 2002,2002,0,
Chile,CHL,Latin America & Caribbean,High income,IBRD,round2010, 9 Apr.-30 Jun 2012,2012,0,
Chile,CHL,Latin America & Caribbean,High income,IBRD,round2020, 19 April 2017,2017,0,
Chile,CHL,Latin America & Caribbean,High income,IBRD,round2020,+ (2022),2022,1,
China,CHN,East Asia & Pacific,Upper middle income,IBRD,round1990, 1 July 1990,1990,0,
China,CHN,East Asia & Pacific,Upper middle income,IBRD,round2000, 1 November 2000,2000,0,
China,CHN,East Asia & Pacific,Upper middle income,IBRD,round2010, 1 November 2010,2010,0,
China,CHN,East Asia & Pacific,Upper middle income,IBRD,round2020, (1 November 2020),2020,1,
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,IDA,round1990, 1 March 1988,1988,0,
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,IDA,round2000, 21 Nov.-20 Dec. 1998,1998,0,
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,IDA,round2010, 17 March 2014,2014,0,
Côte d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,IDA,round2020,+ (2020),2020,1,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend,round1990, 10 April 1987,1987,0,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend,round2010, 11-30 November 2005,2005,0,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend,round2020,+ (2020),2020,1,
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,Blend,round2000, -,,0,
Democratic Republic of the Congo,COD,Sub-Saharan Africa,Low income,IDA,round2020,+ (2020),2020,1,
Democratic Republic of the Congo,COD,Sub-Saharan Africa,Low income,IDA,round1990, -,,0,
Democratic Republic of the Congo,COD,Sub-Saharan Africa,Low income,IDA,round2000, -,,0,
Democratic Republic of the Congo,COD,Sub-Saharan Africa,Low income,IDA,round2010, -,,0,
Congo,COG,Sub-Saharan Africa,Lower middle income,Blend,round1990, (1) 20 Nov.-5 Dec. 1994,1994,0,Urban census only.
Congo,COG,Sub-Saharan Africa,Lower middle income,Blend,round2000, 6 Jun.-30 Jul. 1996,1996,0,
Congo,COG,Sub-Saharan Africa,Lower middle income,Blend,round2010, 28 April 2007,2007,0,
Congo,COG,Sub-Saharan Africa,Lower middle income,Blend,round2020, (8 June 2020),2020,1,
Cook Islands,COK,,,,round1990, 1 December 1986,1986,0,
Cook Islands,COK,,,,round1990, 1 December 1991,1991,0,
Cook Islands,COK,,,,round2000, 1 December 1996,1996,0,
Cook Islands,COK,,,,round2000, 1 December 2001,2001,0,
Cook Islands,COK,,,,round2010, 1 December 2006,2006,0,
Cook Islands,COK,,,,round2010, 21 Nov.-9 Dec. 2011,2011,0,
Cook Islands,COK,,,,round2020, 1 December 2016,2016,0,
Colombia,COL,Latin America & Caribbean,Upper middle income,IBRD,round1990, 15 October 1985,1985,0,
Colombia,COL,Latin America & Caribbean,Upper middle income,IBRD,round1990, 24 October 1993,1993,0,
Colombia,COL,Latin America & Caribbean,Upper middle income,IBRD,round2010, 22 May 2005-22 May 2006,2006,0,
Colombia,COL,Latin America & Caribbean,Upper middle income,IBRD,round2020, 9 Jan.-31 Jul. 2018,2018,0,
Colombia,COL,Latin America & Caribbean,Upper middle income,IBRD,round2000, -,,0,
Comoros,COM,Sub-Saharan Africa,Lower middle income,IDA,round1990, 15 September 1991,1991,0,
Comoros,COM,Sub-Saharan Africa,Lower middle income,IDA,round2000, 16-30 September 2003,2003,0,
Comoros,COM,Sub-Saharan Africa,Lower middle income,IDA,round2020, 15 December 2017,2017,0,
Comoros,COM,Sub-Saharan Africa,Lower middle income,IDA,round2010, -,,0,
Cape Verde,CPV,Sub-Saharan Africa,Lower middle income,Blend,round1990, 23 June 1990,1990,0,
Cape Verde,CPV,Sub-Saharan Africa,Lower middle income,Blend,round2000, 16-30 June 2000,2000,0,
Cape Verde,CPV,Sub-Saharan Africa,Lower middle income,Blend,round2010, 16-30 June 2010,2010,0,
Cape Verde,CPV,Sub-Saharan Africa,Lower middle income,Blend,round2020,+ (2020),2020,1,
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,IBRD,round2000, 26 June 2000,2000,0,
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,IBRD,round2010, 30 May-3 Jun. 2011,2011,0,
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,IBRD,round2020,+ (2021),2021,1,
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,IBRD,round1990, -,,0,
Cuba,CUB,Latin America & Caribbean,Upper middle income,,round2000, 7 September 2002,2002,0,
Cuba,CUB,Latin America & Caribbean,Upper middle income,,round2010, 14-24 September 2012,2012,0,
Cuba,CUB,Latin America & Caribbean,Upper middle income,,round2020,+ (2022),2022,1,
Cuba,CUB,Latin America & Caribbean,Upper middle income,,round1990, -,,0,
Curaçao,CUW,Latin America & Caribbean,High income,,round2020,+ (2021),2021,1,
Cayman Islands,CYM,Latin America & Caribbean,High income,,round1990, 15 October 1989,1989,0,
Cayman Islands,CYM,Latin America & Caribbean,High income,,round2000, 10 October 1999,1999,0,
Cayman Islands,CYM,Latin America & Caribbean,High income,,round2010, 10 October 2010,2010,0,
Cayman Islands,CYM,Latin America & Caribbean,High income,,round2020, (10 October 2020),2020,1,
Cyprus,CYP,Europe & Central Asia,High income,,round1990, 1 October 1992,1992,0,
Cyprus,CYP,Europe & Central Asia,High income,,round2000, 1 October 2001,2001,0,
Cyprus,CYP,Europe & Central Asia,High income,,round2010, 1 October 2011,2011,0,
Cyprus,CYP,Europe & Central Asia,High income,,round2020, (1 October 2021),2021,1,
Czechia ,CZE,Europe & Central Asia,High income,,round1990, 3 March 1991,1991,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Czechia ,CZE,Europe & Central Asia,High income,,round2000, 1 March 2001,2001,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Czechia ,CZE,Europe & Central Asia,High income,,round2010, 25 March 2011,2011,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Czechia ,CZE,Europe & Central Asia,High income,,round2020, (March 2021),2021,1,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Germany (8) (18),DEU,Europe & Central Asia,High income,,round1990, (9) 25 May 1987,1987,0,Enumeration of former Federal Republic of Germany.
Germany (8) (18),DEU,Europe & Central Asia,High income,,round2000, (H) (12) 30 September 1995,1995,0,Housing census only.
Germany (8) (18),DEU,Europe & Central Asia,High income,,round2010, 9 May 2011,2011,0,
Germany (8) (18),DEU,Europe & Central Asia,High income,,round2020, (1 January 2021),2021,1,
Djibouti,DJI,Middle East & North Africa,Lower middle income,IDA,round2010, 29 May-12 Jun. 2009,2009,0,
Djibouti,DJI,Middle East & North Africa,Lower middle income,IDA,round2020,+ (2020),2020,1,
Djibouti,DJI,Middle East & North Africa,Lower middle income,IDA,round1990, -,,0,
Djibouti,DJI,Middle East & North Africa,Lower middle income,IDA,round2000, -,,0,
Dominica,DMA,Latin America & Caribbean,Upper middle income,Blend,round1990, 12 May 1991,1991,0,
Dominica,DMA,Latin America & Caribbean,Upper middle income,Blend,round2000, 12 May 2001,2001,0,
Dominica,DMA,Latin America & Caribbean,Upper middle income,Blend,round2010, 14 May 2011,2011,0,
Dominica,DMA,Latin America & Caribbean,Upper middle income,Blend,round2020,+ (2021),2021,1,
Denmark ,DNK,Europe & Central Asia,High income,,round1990, 1 January 1991,1991,0,Population figures compiled from administrative registers.
Denmark ,DNK,Europe & Central Asia,High income,,round2000, 1 January 2001,2001,0,Population figures compiled from administrative registers.
Denmark ,DNK,Europe & Central Asia,High income,,round2010, 1 January 2011,2011,0,Population figures compiled from administrative registers.
Denmark ,DNK,Europe & Central Asia,High income,,round2020, (1 January 2021),2021,1,Population figures compiled from administrative registers.
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,IBRD,round1990, 24-25 September 1993,1993,0,
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,IBRD,round2000, 18-20 October 2002,2002,0,
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,IBRD,round2010, 1-7 December 2010,2010,0,
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,IBRD,round2020,+ (2020),2020,1,
Algeria,DZA,Middle East & North Africa,Upper middle income,IBRD,round1990, 20 March 1987,1987,0,
Algeria,DZA,Middle East & North Africa,Upper middle income,IBRD,round2000, 25 June 1998,1998,0,
Algeria,DZA,Middle East & North Africa,Upper middle income,IBRD,round2010, 16-30 April 2008,2008,0,
Algeria,DZA,Middle East & North Africa,Upper middle income,IBRD,round2020,+ (2020),2020,1,
Ecuador,ECU,Latin America & Caribbean,Upper middle income,IBRD,round1990, 25 November 1990,1990,0,
Ecuador,ECU,Latin America & Caribbean,Upper middle income,IBRD,round2000, 25 November 2001,2001,0,
Ecuador,ECU,Latin America & Caribbean,Upper middle income,IBRD,round2010, 28 November 2010,2010,0,
Ecuador,ECU,Latin America & Caribbean,Upper middle income,IBRD,round2020, (November 2020),2020,1,
Egypt,EGY,Middle East & North Africa,Lower middle income,IBRD,round1990, 17-18 November 1986,1986,0,
Egypt,EGY,Middle East & North Africa,Lower middle income,IBRD,round2000, 19 November 1996,1996,0,
Egypt,EGY,Middle East & North Africa,Lower middle income,IBRD,round2010, 21 Nov.-11 Dec. 2006,2006,0,
Egypt,EGY,Middle East & North Africa,Lower middle income,IBRD,round2020, 28 Mar.-26 Apr. 2017,2017,0,
Eritrea,ERI,Sub-Saharan Africa,Low income,IDA,round1990, -,,0,
Eritrea,ERI,Sub-Saharan Africa,Low income,IDA,round2000, -,,0,
Eritrea,ERI,Sub-Saharan Africa,Low income,IDA,round2010, -,,0,
Western Sahara,ESH,,,,round1990, -,,0,
Western Sahara,ESH,,,,round2000, -,,0,
Western Sahara,ESH,,,,round2010, -,,0,
Spain ,ESP,Europe & Central Asia,High income,,round1990, 1 March 1991,1991,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Spain ,ESP,Europe & Central Asia,High income,,round2000, 1 November 2001,2001,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Spain ,ESP,Europe & Central Asia,High income,,round2010, 1 November 2011,2011,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Spain ,ESP,Europe & Central Asia,High income,,round2020, (1 January 2021),2021,1,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Estonia ,EST,Europe & Central Asia,High income,,round1990, 12 January 1989,1989,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Estonia ,EST,Europe & Central Asia,High income,,round2000, 31 March 2000,2000,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Estonia ,EST,Europe & Central Asia,High income,,round2010, 31 Dec.2011-31 Mar.2012,2012,0,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Estonia ,EST,Europe & Central Asia,High income,,round2020,+ (2021),2021,1,"Population figures compiled from administrative registers in combination with other sources of data, such as sample surveys."
Ethiopia,ETH,Sub-Saharan Africa,Low income,IDA,round1990, 11 October 1994,1994,0,
Ethiopia,ETH,Sub-Saharan Africa,Low income,IDA,round2010, 29 May-7 Jun. 2007,2007,0,
Ethiopia,ETH,Sub-Saharan Africa,Low income,IDA,round2020,+ (2020),2020,1,
Ethiopia,ETH,Sub-Saharan Africa,Low income,IDA,round2000, -,,0,
Finland ,FIN,Europe & Central Asia,High income,,round1990, 17 November 1985,1985,0,Population figures compiled from administrative registers.
Finland ,FIN,Europe & Central Asia,High income,,round1990, 31 December 1990,1990,0,Population figures compiled from administrative registers.
Finland ,FIN,Europe & Central Asia,High income,,round2000, 31 December 1995,1995,0,Population figures compiled from administrative registers.
Finland ,FIN,Europe & Central Asia,High income,,round2000, 31 December 2000,2000,0,Population figures compiled from administrative registers.
Finland ,FIN,Europe & Central Asia,High income,,round2010, 31 December 2010,2010,0,Population figures compiled from administrative registers.
Finland ,FIN,Europe & Central Asia,High income,,round2020, (31 December 2020),2020,1,Population figures compiled from administrative registers.
Fiji,FJI,East Asia & Pacific,Upper middle income,Blend,round1990, 31 August 1986,1986,0,
Fiji,FJI,East Asia & Pacific,Upper middle income,Blend,round2000, 25 August 1996,1996,0,
Fiji,FJI,East Asia & Pacific,Upper middle income,Blend,round2010, 6 September 2007,2007,0,
Fiji,FJI,East Asia & Pacific,Upper middle income,Blend,round2020, 17 September 2017,2017,0,
Falkland Islands (Malvinas),FLK,,,,round1990, 16 November 1986,1986,0,
Falkland Islands (Malvinas),FLK,,,,round1990, 5 March 1991,1991,0,
Falkland Islands (Malvinas),FLK,,,,round2000, 24 April 1996,1996,0,
Falkland Islands (Malvinas),FLK,,,,round2000, 8 April 2001,2001,0,
Falkland Islands (Malvinas),FLK,,,,round2010, 8 October 2006,2006,0,
Falkland Islands (Malvinas),FLK,,,,round2010, 15 April 2012,2012,0,
Falkland Islands (Malvinas),FLK,,,,round2020, 9 October 2016,2016,0,
France,FRA,Europe & Central Asia,High income,,round1990, 5 March 1990,1990,0,
